,time,open,high,low,close,tick_volume,spread,real_volume,sma25,sma50,sma75,sma100,sma200
5344,2020-01-08 21:40:00,0.68701,0.68701,0.68682,0.68687,70,16,0,0.6872023999999994,0.6867004000000004,0.6864630666666662,0.6864811000000007,0.6868406499999982
5345,2020-01-08 21:45:00,0.68687,0.6869,0.68683,0.68689,46,17,0,0.6871771999999996,0.6867344000000004,0.6864747999999995,0.6864804000000008,0.6868359999999982
5346,2020-01-08 21:50:00,0.68689,0.68697,0.68688,0.68692,92,16,0,0.6871543999999996,0.6867688000000004,0.6864805333333329,0.6864801000000008,0.6868340999999982
5347,2020-01-08 21:55:00,0.68691,0.68719,0.6869,0.68707,182,16,0,0.6871367999999995,0.6868082000000004,0.6864895999999995,0.6864810000000009,0.6868318999999983
5348,2020-01-08 22:00:00,0.68706,0.68708,0.68687,0.68687,149,16,0,0.6871111999999995,0.6868442000000003,0.6864983999999995,0.6864807000000009,0.6868281999999982
5349,2020-01-08 22:05:00,0.68688,0.68692,0.6868,0.68689,89,16,0,0.6870931999999996,0.6868736000000003,0.686502666666666,0.6864808000000009,0.6868250999999982
5350,2020-01-08 22:10:00,0.68689,0.68705,0.68685,0.68698,150,17,0,0.6870783999999996,0.6869102000000002,0.6865067999999994,0.686481000000001,0.6868234499999982
5351,2020-01-08 22:15:00,0.68698,0.68711,0.68696,0.68704,112,16,0,0.6870675999999996,0.6869492000000003,0.6865147999999994,0.686481400000001,0.6868227499999982
5352,2020-01-08 22:20:00,0.68704,0.68706,0.68696,0.68696,93,18,0,0.6870575999999996,0.6869900000000002,0.6865198666666661,0.6864803000000009,0.6868236999999983
5353,2020-01-08 22:25:00,0.68696,0.68708,0.68696,0.68706,110,17,0,0.6870491999999995,0.6870340000000003,0.6865263999999994,0.6864808000000009,0.6868244999999982
5354,2020-01-08 22:30:00,0.68706,0.68707,0.68695,0.68695,116,17,0,0.6870319999999994,0.6870756000000005,0.6865314666666661,0.6864783000000009,0.6868238499999981
5355,2020-01-08 22:35:00,0.68695,0.687,0.68687,0.6869,120,18,0,0.6870123999999994,0.6871044000000005,0.6865390666666662,0.6864777000000007,0.6868229999999982
5356,2020-01-08 22:40:00,0.68689,0.6869,0.68682,0.68685,58,18,0,0.6869867999999993,0.6871328000000005,0.6865451999999994,0.6864785000000009,0.6868207999999981
5357,2020-01-08 22:45:00,0.68686,0.68689,0.68668,0.68679,233,16,0,0.6869663999999993,0.6871444000000005,0.6865535999999994,0.686481000000001,0.686818399999998
5358,2020-01-08 22:50:00,0.68678,0.68679,0.68656,0.6867,216,16,0,0.6869459999999993,0.6871398000000006,0.6865646666666662,0.6864847000000011,0.6868154999999981
5359,2020-01-08 22:55:00,0.6867,0.68676,0.68638,0.68648,190,16,0,0.6869243999999992,0.6871340000000007,0.6865757333333328,0.6864870000000011,0.6868116499999981
5360,2020-01-08 23:00:00,0.68651,0.68669,0.68648,0.68653,212,17,0,0.6869031999999993,0.6871188000000007,0.6865867999999995,0.686491500000001,0.6868073499999982
5361,2020-01-08 23:05:00,0.6865,0.6867,0.68647,0.6867,76,17,0,0.6868887999999993,0.6871154000000007,0.6866021333333329,0.6864966000000011,0.686804499999998
5362,2020-01-08 23:10:00,0.6867,0.68696,0.68667,0.68689,40,17,0,0.6868839999999992,0.6871122000000007,0.6866181333333328,0.6865049000000012,0.6868033999999982
5363,2020-01-08 23:15:00,0.68689,0.68713,0.68688,0.68693,25,17,0,0.6868827999999992,0.6871006000000005,0.6866335999999994,0.6865125000000012,0.6868029999999982
5364,2020-01-08 23:20:00,0.68693,0.68693,0.6868,0.68686,18,16,0,0.6868815999999992,0.6870904000000005,0.6866475999999995,0.6865211000000011,0.6868034499999982
5365,2020-01-08 23:25:00,0.68686,0.6869,0.68682,0.68683,34,17,0,0.6868771999999993,0.6870794000000007,0.6866629333333328,0.6865275000000011,0.6868027999999982
5366,2020-01-08 23:30:00,0.68683,0.68687,0.68666,0.6868,72,17,0,0.6868699999999994,0.6870678000000007,0.6866818666666661,0.6865331000000012,0.6868022999999981
5367,2020-01-08 23:35:00,0.6868,0.68683,0.68673,0.68682,25,19,0,0.6868635999999995,0.6870496000000006,0.6867033333333328,0.6865406000000012,0.6868019999999981
5368,2020-01-08 23:40:00,0.68682,0.68684,0.68676,0.68676,32,18,0,0.6868535999999995,0.6870360000000005,0.6867251999999995,0.6865509000000012,0.6868007999999981
5369,2020-01-08 23:45:00,0.68676,0.68677,0.68662,0.68665,62,17,0,0.6868447999999995,0.6870236000000005,0.6867485333333327,0.6865585000000012,0.6867994999999979
5370,2020-01-08 23:50:00,0.68665,0.68668,0.68664,0.68665,15,18,0,0.6868351999999995,0.6870062000000006,0.6867679999999995,0.6865649000000011,0.6867977499999978
5371,2020-01-08 23:55:00,0.68665,0.68675,0.68626,0.68627,128,18,0,0.6868091999999996,0.6869818000000006,0.6867822666666661,0.6865627000000011,0.6867937999999978
5372,2020-01-09 00:00:00,0.68632,0.68645,0.68629,0.68645,38,41,0,0.6867843999999996,0.6869606000000006,0.6868002666666662,0.686563300000001,0.6867911499999978
5373,2020-01-09 00:05:00,0.68645,0.68647,0.68638,0.68647,19,41,0,0.6867683999999997,0.6869398000000005,0.6868189333333328,0.686565900000001,0.6867880999999979
5374,2020-01-09 00:10:00,0.68647,0.68647,0.68645,0.68647,6,32,0,0.6867515999999998,0.6869224000000006,0.6868329333333327,0.6865649000000009,0.6867859499999979
5375,2020-01-09 00:15:00,0.68652,0.68655,0.6864,0.68655,30,26,0,0.6867343999999999,0.6869064000000005,0.6868515999999993,0.6865637000000008,0.6867838999999979
5376,2020-01-09 00:20:00,0.68651,0.68651,0.6865,0.6865,4,34,0,0.6867127999999998,0.6868902000000006,0.6868703999999994,0.6865643000000007,0.686782549999998
5377,2020-01-09 00:25:00,0.6865,0.68675,0.68646,0.68671,18,20,0,0.6867028,0.6868802000000005,0.6868942666666661,0.6865656000000007,0.6867820499999979
5378,2020-01-09 00:30:00,0.68671,0.68688,0.68662,0.68688,43,20,0,0.6866955999999999,0.6868724000000006,0.6869211999999995,0.6865687000000007,0.686782099999998
5379,2020-01-09 00:35:00,0.68688,0.687,0.68688,0.68696,25,19,0,0.6866959999999999,0.6868640000000006,0.6869490666666661,0.6865726000000006,0.6867825999999979
5380,2020-01-09 00:40:00,0.68693,0.68694,0.68682,0.68682,11,23,0,0.6866927999999999,0.6868526000000006,0.6869671999999994,0.6865775000000006,0.686780849999998
5381,2020-01-09 00:45:00,0.68682,0.68686,0.68665,0.68678,54,20,0,0.6866899999999998,0.6868384000000006,0.6869851999999994,0.6865814000000006,0.686778749999998
5382,2020-01-09 00:50:00,0.68678,0.68678,0.68653,0.68655,51,19,0,0.6866803999999999,0.6868234000000005,0.6869897333333327,0.6865853000000005,0.6867761999999981
5383,2020-01-09 00:55:00,0.68655,0.68655,0.68628,0.68643,71,16,0,0.6866696,0.6868078000000005,0.6869830666666661,0.6865909000000007,0.6867719499999981
5384,2020-01-09 01:00:00,0.68643,0.6865,0.68624,0.6865,91,16,0,0.6866704,0.6867974000000007,0.6869794666666661,0.6865994000000006,0.6867675999999981
5385,2020-01-09 01:05:00,0.68649,0.68656,0.68649,0.68654,16,16,0,0.6866708,0.6867870000000006,0.6869694666666661,0.6866078000000005,0.6867636499999982
5386,2020-01-09 01:10:00,0.68654,0.68672,0.68654,0.68672,47,17,0,0.6866716,0.6867802000000006,0.6869674666666662,0.6866195000000005,0.6867614499999982
5387,2020-01-09 01:15:00,0.68672,0.68685,0.6867,0.68685,77,17,0,0.68667,0.6867770000000006,0.6869647999999995,0.6866311000000006,0.6867599499999981
